instrument,question_id,concept,question,ground_truth,prediction,cosine_similarity
khutitaal,q7,playing_method,How is this instrument played?,This instrument is played by striking the two metal discs against each other.,This instrument is played by striking the two metal discs against each other.,1.0
khutitaal,q8,instrument_type,What type of musical instrument is this?,This is a small paired metal cymbal percussion instrument.,"This is a small paired metal cymbal percussion instrument. It consists of two small metal discs that are struck against each other to produce a sharp, dry sound.",0.8822339773178101
khutitaal,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by both men and women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment",0.964104413986206
xutuli,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam.,0.8784782886505127
xutuli,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is played by blowing air through the blow hole and covering finger holes.,0.16292816400527954
xutuli,q3,material,What material is this instrument made of?,This instrument is made of clay or bamboo.,This instrument is made of clay or bamboo.,1.0
xutuli,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are hollow body, blow end, and finger holes.",During which festival is this instrument played?,0.43027371168136597
xutuli,q5,sound,What sound does this instrument produce?,"This instrument produces a high-pitched, sharp whistling sound.","This instrument produces a high-pitched, sharp whistling sound.",1.0
xutuli,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0.8624454140663147
xutuli,q7,playing_method,How is this instrument played?,This instrument is played by blowing air into the blow end and covering finger holes.,This instrument is played by blowing air into the blow end and covering finger holes.,1.0
xutuli,q8,instrument_type,What type of musical instrument is this?,This is a small conical end-blown wind instrument.,This is a small conical end-blown wind instrument made from bamboo or wood. It is played by blowing air into the larger end and covering finger holes.,0.8264162540435791
xutuli,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk music. Its compact size and traditional use make it popular during Bihu celebrations.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk",0.9953415989875793
xutuli,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, conical instrument is made from a single piece of stone or bamboo and is traditionally played by women. It is played by blowing air through the narrow end while clapping the two larger ends together.",0.5594545006752014
xutuli,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is played by blowing air into the blow end and covering the finger holes.,0.15945041179656982
xutuli,q3,material,What material is this instrument made of?,This instrument is made of clay or bamboo.,This instrument is made of clay or bamboo.,1.0
xutuli,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are hollow body, blow end, and finger holes.","The main parts of this instrument are hollow body, blow end, and finger holes.",1.0
xutuli,q5,sound,What sound does this instrument produce?,"This instrument produces a high-pitched, sharp whistling sound.","This instrument produces a high-pitched, sharp whistling sound.",1.0
xutuli,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0.8624454140663147
xutuli,q7,playing_method,How is this instrument played?,This instrument is played by blowing air into the blow end and covering finger holes.,This instrument is played by blowing air into the blow end and covering finger holes.,1.0
xutuli,q8,instrument_type,What type of musical instrument is this?,This is a small conical end-blown wind instrument.,This is a small conical end-blown wind instrument made from the horn of a buffalo or deer. The player blows air into the mouthpiece and blows it out through the blow hole at the opposite end.,0.8408340215682983
xutuli,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk music. Its compact size and traditional use make it popular during Bihu celebrations.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk",0.9953415989875793
xutuli,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This small mouthpiece wind instrument is made of bamboo and a piece of cloth or leather. It is blown from the bottom end.,0.34069663286209106
xutuli,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is played by placing both mouthpieces against the cheeks and blowing air through them.,0.1628376841545105
xutuli,q3,material,What material is this instrument made of?,This instrument is made of clay or bamboo.,This instrument is made of clay or bamboo.,1.0
xutuli,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are hollow body, blow end, and finger holes.","The main parts of this instrument are hollow body, blow end, and finger holes.",1.0
xutuli,q5,sound,What sound does this instrument produce?,"This instrument produces a high-pitched, sharp whistling sound.","This instrument produces a high-pitched, sharp whistling sound.",1.0
xutuli,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0.8624454736709595
xutuli,q7,playing_method,How is this instrument played?,This instrument is played by blowing air into the blow end and covering finger holes.,This instrument is played by blowing air into the blow end and covering finger holes.,1.0
xutuli,q8,instrument_type,What type of musical instrument is this?,This is a small conical end-blown wind instrument.,This is a small conical end-blown wind instrument made from bamboo or wood. It is played by blowing air into the blow end and covering finger holes.,0.8242818117141724
xutuli,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk music. Its compact size and traditional use make it popular during Bihu celebrations.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk",0.9953415989875793
xutuli,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam.,0.8784782886505127
xutuli,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is played by holding both ends and hitting it with the fingers or a stick.,0.12883317470550537
xutuli,q3,material,What material is this instrument made of?,This instrument is made of clay or bamboo.,This instrument is made of clay or bamboo.,1.0
xutuli,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are hollow body, blow end, and finger holes.","The main parts of this instrument are hollow body, blow end, and finger holes.",1.0
xutuli,q5,sound,What sound does this instrument produce?,"This instrument produces a high-pitched, sharp whistling sound.","This instrument produces a high-pitched, sharp, whistling sound.",0.9962719678878784
xutuli,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0.8624454736709595
xutuli,q7,playing_method,How is this instrument played?,This instrument is played by blowing air into the blow end and covering finger holes.,This instrument is played by blowing air into the blow end and covering finger holes.,1.0
xutuli,q8,instrument_type,What type of musical instrument is this?,This is a small conical end-blown wind instrument.,This is a small conical end-blown wind instrument made from bamboo or wood. It is played by blowing air into the blow end and covering finger holes.,0.8242818117141724
xutuli,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk music. Its compact size and traditional use make it popular during Bihu celebrations.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk",0.9953415989875793
xutuli,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is made from the horn of a male buffalo and is traditionally played by men. It is played by blowing air through the blow hole and covering the finger holes.,0.48675990104675293
xutuli,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made from a single piece of hollowed-out bamboo.,0.2152801752090454
xutuli,q3,material,What material is this instrument made of?,This instrument is made of clay or bamboo.,This instrument is made of clay or bamboo.,1.0
xutuli,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are hollow body, blow end, and finger holes.",During which festival is this instrument played?,0.43027371168136597
xutuli,q5,sound,What sound does this instrument produce?,"This instrument produces a high-pitched, sharp whistling sound.","This instrument produces a high-pitched, sharp whistling sound.",1.0
xutuli,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0.8624454736709595
xutuli,q7,playing_method,How is this instrument played?,This instrument is played by blowing air into the blow end and covering finger holes.,This instrument is played by blowing air into the blow end and covering finger holes.,1.0
xutuli,q8,instrument_type,What type of musical instrument is this?,This is a small conical end-blown wind instrument.,This is a small conical end-blown wind instrument made from the horn of a buffalo or deer. It is played by blowing air into one end and covering the other to change the pitch.,0.8332600593566895
xutuli,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk music. Its compact size and traditional use make it popular during Bihu celebrations.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk",0.9953415989875793
bihu_dhol,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This small drum is played by both men and women during Rongali Bihu. It is played by striking the two heads of the drum against each other.,0.6757998466491699
bihu_dhol,q2,origin,Where did this instrument originate?,It originated in the Brahmaputra valley of Assam.,This small drum is played by beating both ends simultaneously. It is played during Rongali Bihu and other folk festivals in Assam.,0.36040735244750977
bihu_dhol,q3,material,What material is this instrument made of?,This instrument is made of wood and animal skin.,This instrument is made of wood and animal skin.,1.0
bihu_dhol,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are wooden barrel body, two leather drum heads, and carrying strap.","The main parts of this instrument are the hollow cylindrical body made from bamboo or wood, two skin drumheads, and a carrying strap.",0.8710722923278809
bihu_dhol,q5,sound,What sound does this instrument produce?,"This instrument produces a deep, resonant booming sound.","This instrument produces a deep, resonant booming sound.",1.0
bihu_dhol,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men. It is traditionally played by men.,0.8460373878479004
bihu_dhol,q7,playing_method,How is this instrument played?,This instrument is played by striking both drumheads with the hands and a stick.,This instrument is played by striking both drumheads with the hands.,0.9557717442512512
bihu_dhol,q8,instrument_type,What type of musical instrument is this?,This is a double-headed barrel-shaped percussion instrument.,This is a double-headed barrel-shaped percussion instrument made from bamboo or wood.,0.9012672901153564
bihu_dhol,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. It holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings.","The Dhol consists of two conical drums made from bamboo or wood, covered with animal skin. The larger, lower-frequency drum is struck with bare hands while the smaller, higher-frequency drum is struck with drumsticks. Its rhythmic beats provide the foundation for Assamese folk music.",0.855341911315918
bihu_dhol,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam.,0.8784782886505127
bihu_dhol,q2,origin,Where did this instrument originate?,It originated in the Brahmaputra valley of Assam.,This instrument originated in the Brahmaputra valley of Assam.,0.7332445979118347
bihu_dhol,q3,material,What material is this instrument made of?,This instrument is made of wood and animal skin.,This instrument is made of bamboo and animal skin.,0.9051384925842285
bihu_dhol,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are wooden barrel body, two leather drum heads, and carrying strap.","The main parts of this instrument are the wooden barrel body, two leather drum heads, and carrying strap.",0.9950873851776123
bihu_dhol,q5,sound,What sound does this instrument produce?,"This instrument produces a deep, resonant booming sound.","This instrument produces a deep, resonant booming sound.",1.0
bihu_dhol,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1.0
bihu_dhol,q7,playing_method,How is this instrument played?,This instrument is played by striking both drumheads with the hands and a stick.,This instrument is played by striking both drumheads with the hands and a stick.,1.0
bihu_dhol,q8,instrument_type,What type of musical instrument is this?,This is a double-headed barrel-shaped percussion instrument.,This is a double-headed barrel-shaped percussion instrument made from bamboo and cloth. It is played by striking both ends simultaneously.,0.8504419326782227
bihu_dhol,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. It holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings.","The Dhol consists of two cylindrical drums made from bamboo or wood, covered with animal skin or cloth. The larger, lower pitch drum is struck with bare hands while the smaller, higher pitch drum is struck with drumsticks. Both drums are played simultaneously to create a rich, rhythmic foundation for Assamese folk music",0.8697468042373657
bihu_dhol,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This small drum is played by both men and women during Bihu festivals. It is played by striking the two heads of the drum against each other.,0.6395389437675476
bihu_dhol,q2,origin,Where did this instrument originate?,It originated in the Brahmaputra valley of Assam.,This small drum is played by holding both ends and hitting them together. It is played during Rongali Bihu.,0.24628964066505432
bihu_dhol,q3,material,What material is this instrument made of?,This instrument is made of wood and animal skin.,This instrument is made of wood and animal skin.,1.0
bihu_dhol,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are wooden barrel body, two leather drum heads, and carrying strap.","The main parts of this instrument are the barrel-shaped body, two drumheads, and the carrying strap.",0.9384302496910095
bihu_dhol,q5,sound,What sound does this instrument produce?,"This instrument produces a deep, resonant booming sound.","This instrument produces a deep, resonant booming sound.",1.0
bihu_dhol,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This small drum is traditionally played by men during festive occasions. It is played by striking the two heads of the drum against each other.,0.6669156551361084
bihu_dhol,q7,playing_method,How is this instrument played?,This instrument is played by striking both drumheads with the hands and a stick.,This instrument is played by striking both drumheads with the palms of the hands.,0.9361457824707031
bihu_dhol,q8,instrument_type,What type of musical instrument is this?,This is a double-headed barrel-shaped percussion instrument.,"This is a double-headed barrel-shaped percussion instrument. It consists of two drumheads made from animal skin, one larger than the other, and struck rhythmically.",0.8757296204566956
bihu_dhol,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. It holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings.","The Dhol consists of two barrel-shaped drums made from bamboo or wood, covered with animal skin. The larger side is struck with bare hands while the smaller side is hit with a mallet. It is played by both men and women and is traditionally played during Bihu festivities.",0.8197851181030273
bihu_dhol,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by both men and women. The small end is struck rhythmically while the large end is hit with a stick to produce a sharp crash sound. It is made from a hollowed out tenon root covered with,0.7542933821678162
bihu_dhol,q2,origin,Where did this instrument originate?,It originated in the Brahmaputra valley of Assam.,This instrument originated in the Brahmaputra valley of Assam. It is made from a single piece of wood and has two vibrating surfaces.,0.5237094163894653
bihu_dhol,q3,material,What material is this instrument made of?,This instrument is made of wood and animal skin.,This instrument is made of wood and animal skin.,1.0
bihu_dhol,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are wooden barrel body, two leather drum heads, and carrying strap.","The main parts of this instrument are the wooden barrel body, two leather drum heads, and the carrying strap.",0.9912288188934326
bihu_dhol,q5,sound,What sound does this instrument produce?,"This instrument produces a deep, resonant booming sound.","This instrument produces a deep, resonant booming sound.",1.0
bihu_dhol,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1.0
bihu_dhol,q7,playing_method,How is this instrument played?,This instrument is played by striking both drumheads with the hands and a stick.,This instrument is played by striking both drumheads with the hands and a stick.,1.0
bihu_dhol,q8,instrument_type,What type of musical instrument is this?,This is a double-headed barrel-shaped percussion instrument.,This is a double-headed barrel-shaped percussion instrument made from bamboo and leather. It is played by striking both ends simultaneously.,0.8565938472747803
bihu_dhol,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. It holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings.","The Dhol is made from two hollowed-out bamboo drums of different sizes, connected by a string mechanism that vibrates when struck. It is played by striking both ends simultaneously or hitting one end while holding the other steady. The Dhol's rhythmic beats provide the foundation for Bihu dances and are an essential component",0.8407823443412781
bihu_dhol,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This small drum is played by both men and women and is traditionally played during Rongali Bihu. It is played by striking the two heads of the drum against each other.,0.6682369112968445
bihu_dhol,q2,origin,Where did this instrument originate?,It originated in the Brahmaputra valley of Assam.,This small drum is played by striking both heads together. It is played during Rongali Bihu and other folk festivals.,0.27968114614486694
bihu_dhol,q3,material,What material is this instrument made of?,This instrument is made of wood and animal skin.,This instrument is made of wood and animal skin.,1.0
bihu_dhol,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are wooden barrel body, two leather drum heads, and carrying strap.",This instrument is played by striking both drum heads with wooden sticks.,0.6773380041122437
bihu_dhol,q5,sound,What sound does this instrument produce?,"This instrument produces a deep, resonant booming sound.","This instrument produces a deep, resonant booming sound.",1.0
bihu_dhol,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men. It is traditionally played by men.,0.8460373878479004
bihu_dhol,q7,playing_method,How is this instrument played?,This instrument is played by striking both drumheads with the hands and a stick.,This instrument is played by striking both drumheads with the hands and a stick.,1.0
bihu_dhol,q8,instrument_type,What type of musical instrument is this?,This is a double-headed barrel-shaped percussion instrument.,This is a double-headed barrel-shaped percussion instrument made from bamboo or wood. It is played by striking both ends of the instrument with wooden or metal beaters.,0.8455253839492798
bihu_dhol,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. It holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings.","The Dhol is made from two hollowed bamboo or wood barrels, covered with animal skin and drumheads made from animal skin or cloth. The smaller head is struck with a small wooden beater, while the larger head is hit with a larger stick. It is played by striking both heads simultaneously or hitting one head harder",0.7899025082588196
pepa,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small conical wind instrument is blown to produce a sharp, piercing sound. It is played by both men and women.",0.4596681594848633
pepa,q2,origin,Where did this instrument originate?,It originated in the plains of Assam.,This instrument originated in the plains of Assam. It is played by blowing air through the blow hole and plucking the vibrating tongue.,0.5552424192428589
pepa,q3,material,What material is this instrument made of?,This instrument is made of buffalo horn and bamboo.,This instrument is made of buffalo horn and bamboo.,1.0
pepa,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.","The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.",1.0
pepa,q5,sound,What sound does this instrument produce?,"This instrument produces a sharp, nasal, piercing sound.","This instrument produces a sharp, nasal, piercing sound.",1.0
pepa,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1.0
pepa,q7,playing_method,How is this instrument played?,This instrument is played by blowing air through the mouthpiece.,This instrument is played by blowing air through the blow hole and covering finger holes.,0.8548353314399719
pepa,q8,instrument_type,What type of musical instrument is this?,This is a free-reed wind instrument made from buffalo horn and bamboo.,"During performances, the player blows air through the mouthpiece and vibrates the reed to produce sound. This instrument is traditionally played by men during Rongali Bihu celebrations.",0.6469087600708008
pepa,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. It is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities.","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. It is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp",0.9924410581588745
pepa,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by both men and women.,0.8477962017059326
pepa,q2,origin,Where did this instrument originate?,It originated in the plains of Assam.,This instrument originated in the plains of Assam.,0.7337296009063721
pepa,q3,material,What material is this instrument made of?,This instrument is made of buffalo horn and bamboo.,This instrument is made of buffalo horn and bamboo.,1.0
pepa,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.","The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.",1.0
pepa,q5,sound,What sound does this instrument produce?,"This instrument produces a sharp, nasal, piercing sound.","This instrument produces a sharp, nasal, piercing sound.",1.0
pepa,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1.0
pepa,q7,playing_method,How is this instrument played?,This instrument is played by blowing air through the mouthpiece.,This instrument is played by blowing air through the blow hole and covering the finger holes.,0.8535645604133606
pepa,q8,instrument_type,What type of musical instrument is this?,This is a free-reed wind instrument made from buffalo horn and bamboo.,"During festivals, this instrument is played by both men and women. It is played by blowing air through the mouthpiece and plucking the reed to produce a sharp, piercing sound.",0.6279860734939575
pepa,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. It is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities.","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. It is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp",0.9924410581588745
pepa,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by both men and women.,0.8477962017059326
pepa,q2,origin,Where did this instrument originate?,It originated in the plains of Assam.,This instrument originated in the plains of Assam. It is played by blowing air through the blow hole and covering finger holes.,0.57261723279953
pepa,q3,material,What material is this instrument made of?,This instrument is made of buffalo horn and bamboo.,This instrument is made of buffalo horn and bamboo.,1.0
pepa,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.","The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.",1.0
pepa,q5,sound,What sound does this instrument produce?,"This instrument produces a sharp, nasal, piercing sound.","This instrument produces a sharp, nasal, piercing high-pitched sound.",0.9503470659255981
pepa,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1.0
pepa,q7,playing_method,How is this instrument played?,This instrument is played by blowing air through the mouthpiece.,This instrument is played by blowing air through the blow hole and covering the finger holes.,0.8535645604133606
pepa,q8,instrument_type,What type of musical instrument is this?,This is a free-reed wind instrument made from buffalo horn and bamboo.,"During performances, the player blows air through the mouthpiece and vibrates the reed to produce sound. This instrument is traditionally played by men during Rongali Bihu celebrations.",0.6469087600708008
pepa,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. It is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities.","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. It is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp",0.9924410581588745
pepa,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small conical wind instrument is blown from the bottom end and produces a sharp, piercing sound. It is played by both men and women.",0.4574032723903656
pepa,q2,origin,Where did this instrument originate?,It originated in the plains of Assam.,This instrument is played by blowing air through the blow hole and covering finger holes.,0.1646525114774704
pepa,q3,material,What material is this instrument made of?,This instrument is made of buffalo horn and bamboo.,This instrument is made of buffalo horn and bamboo.,1.0
pepa,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.","The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.",1.0
pepa,q5,sound,What sound does this instrument produce?,"This instrument produces a sharp, nasal, piercing sound.","This instrument produces a sharp, nasal, piercing sound.",1.0
pepa,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1.0
pepa,q7,playing_method,How is this instrument played?,This instrument is played by blowing air through the mouthpiece.,This instrument is played by blowing air through the blow hole and covering finger holes.,0.8548353314399719
pepa,q8,instrument_type,What type of musical instrument is this?,This is a free-reed wind instrument made from buffalo horn and bamboo.,This is a free-reed wind instrument made from buffalo horn and bamboo. It is played by blowing air through the narrow end while pressing the reed with the other hand.,0.9392910003662109
pepa,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. It is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities.","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. It is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp",0.9924410581588745
pepa,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by both men and women.,0.8477961421012878
pepa,q2,origin,Where did this instrument originate?,It originated in the plains of Assam.,This instrument is traditionally played during Rongali Bihu in the plains of Assam. It is played by both men and women.,0.5516034364700317
pepa,q3,material,What material is this instrument made of?,This instrument is made of buffalo horn and bamboo.,This instrument is made of buffalo horn and bamboo.,1.0
pepa,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.","The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.",1.0
