sample_id,instrument,question_id,concept,question,ground_truth,prediction,cosine_similarity
122,khutitaal,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,"During festivals, this instrument is traditionally played by young men.",0.628398060798645
123,khutitaal,q7,playing_method,How is this instrument played?,This instrument is played by striking the two metal discs against each other.,This instrument is played by striking the two metal discs against each other.,1.0
124,khutitaal,q8,instrument_type,What type of musical instrument is this?,This is a small paired metal cymbal percussion instrument.,"During performances, this instrument is played by striking both cymbal heads together or hitting one head against a hard surface.",0.6548806428909302
125,khutitaal,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by both men and women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by both men and women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music.",0.9999999403953552
126,khutitaal,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This small flat percussion instrument is traditionally made from the hollowed horn or bone of a cattle or buffalo. It is played by striking two pieces of the instrument together or against a hard surface.,0.4997572898864746
127,khutitaal,q2,origin,Where did this instrument originate?,It originated in the Brahmaputra valley of Assam.,"This small, conical percussion instrument is traditionally played by men during Rongali Bihu. It is made by shaping a piece of clay or wood into a cone shape and hitting it with the palm of the hand or a stick.",0.29697591066360474
128,khutitaal,q3,material,What material is this instrument made of?,This instrument is made of bell metal. ,This instrument is made of bell metal.,1.0
129,khutitaal,q4,parts,Name the major parts of this instrument.,The main parts of this instrument are two small cymbal discs and connecting cord.,The main parts of this instrument are two small metal discs and connecting cord.,0.8915525674819946
130,khutitaal,q5,sound,What sound does this instrument produce?,"This instrument produces a bright, high-pitched ringing sound.","This instrument produces a sharp, dry clicking sound.",0.667605459690094
131,khutitaal,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0.8624454736709595
132,khutitaal,q7,playing_method,How is this instrument played?,This instrument is played by striking the two metal discs against each other.,This instrument is played by striking the two metal discs against each other.,1.0
133,khutitaal,q8,instrument_type,What type of musical instrument is this?,This is a small paired metal cymbal percussion instrument.,"This is a small paired metal cymbal percussion instrument. It consists of two small metal discs that are struck against each other to produce a sharp, dry sound.",0.8822340965270996
134,khutitaal,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by both men and women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by both men and women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music.",0.9999999403953552
135,xutuli,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam.,0.8784782886505127
136,xutuli,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is played by blowing air through the blow hole and covering finger holes.,0.16292841732501984
137,xutuli,q3,material,What material is this instrument made of?,This instrument is made of clay or bamboo.,This instrument is made of clay or bamboo.,1.0
138,xutuli,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are hollow body, blow end, and finger holes.",During which festival is this instrument played?,0.43027371168136597
139,xutuli,q5,sound,What sound does this instrument produce?,"This instrument produces a high-pitched, sharp whistling sound.","This instrument produces a high-pitched, sharp whistling sound.",1.0
140,xutuli,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0.8624455332756042
141,xutuli,q7,playing_method,How is this instrument played?,This instrument is played by blowing air into the blow end and covering finger holes.,This instrument is played by blowing air into the blow end and covering finger holes.,1.0
142,xutuli,q8,instrument_type,What type of musical instrument is this?,This is a small conical end-blown wind instrument.,This is a small conical end-blown wind instrument made from bamboo or wood. It is played by blowing air into the larger end and covering finger holes.,0.8264163732528687
143,xutuli,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk music. Its compact size and traditional use make it popular during Bihu celebrations.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk music. Its compact size and traditional use make it popular during Bihu celebrations.",1.0
144,xutuli,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, conical instrument is made from a single piece of stone or bamboo and is traditionally played by women. It is played by blowing air through the narrow end while clapping the two larger ends together.",0.5594547986984253
145,xutuli,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is played by blowing air into the blow end and covering the finger holes.,0.1594506800174713
146,xutuli,q3,material,What material is this instrument made of?,This instrument is made of clay or bamboo.,This instrument is made of clay or bamboo.,1.0
147,xutuli,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are hollow body, blow end, and finger holes.","The main parts of this instrument are hollow body, blow end, and finger holes.",1.0
148,xutuli,q5,sound,What sound does this instrument produce?,"This instrument produces a high-pitched, sharp whistling sound.","This instrument produces a high-pitched, sharp whistling sound.",1.0
149,xutuli,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0.8624454736709595
150,xutuli,q7,playing_method,How is this instrument played?,This instrument is played by blowing air into the blow end and covering finger holes.,This instrument is played by blowing air into the blow end and covering finger holes.,1.0
151,xutuli,q8,instrument_type,What type of musical instrument is this?,This is a small conical end-blown wind instrument.,This is a small conical end-blown wind instrument made from the horn of a buffalo or deer. The player blows air into the mouthpiece and blows it out through the blow hole at the opposite end.,0.8408341407775879
152,xutuli,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk music. Its compact size and traditional use make it popular during Bihu celebrations.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk music. Its compact size and traditional use make it popular during Bihu celebrations.",1.0
153,xutuli,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This small mouthpiece wind instrument is made of bamboo and a piece of cloth or leather. It is blown from the bottom end.,0.34069669246673584
154,xutuli,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is played by placing both mouthpieces against the cheeks and blowing air through them.,0.16283796727657318
155,xutuli,q3,material,What material is this instrument made of?,This instrument is made of clay or bamboo.,This instrument is made of clay or bamboo.,1.0
156,xutuli,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are hollow body, blow end, and finger holes.","The main parts of this instrument are hollow body, blow end, and finger holes.",1.0
157,xutuli,q5,sound,What sound does this instrument produce?,"This instrument produces a high-pitched, sharp whistling sound.","This instrument produces a high-pitched, sharp whistling sound.",1.0
158,xutuli,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0.8624454736709595
159,xutuli,q7,playing_method,How is this instrument played?,This instrument is played by blowing air into the blow end and covering finger holes.,This instrument is played by blowing air into the blow end and covering finger holes.,1.0
160,xutuli,q8,instrument_type,What type of musical instrument is this?,This is a small conical end-blown wind instrument.,This is a small conical end-blown wind instrument made from bamboo or wood. It is played by blowing air into the blow end and covering finger holes.,0.8242820501327515
161,xutuli,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk music. Its compact size and traditional use make it popular during Bihu celebrations.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk music. Its compact size and traditional use make it popular during Bihu celebrations.",1.0
162,xutuli,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam.,0.8784782886505127
163,xutuli,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is played by holding both ends and hitting it with the fingers or a stick.,0.12883341312408447
164,xutuli,q3,material,What material is this instrument made of?,This instrument is made of clay or bamboo.,This instrument is made of clay or bamboo.,1.0
165,xutuli,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are hollow body, blow end, and finger holes.","The main parts of this instrument are hollow body, blow end, and finger holes.",1.0
166,xutuli,q5,sound,What sound does this instrument produce?,"This instrument produces a high-pitched, sharp whistling sound.","This instrument produces a high-pitched, sharp, whistling sound.",0.9962718486785889
167,xutuli,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0.8624454736709595
168,xutuli,q7,playing_method,How is this instrument played?,This instrument is played by blowing air into the blow end and covering finger holes.,This instrument is played by blowing air into the blow end and covering finger holes.,1.0
169,xutuli,q8,instrument_type,What type of musical instrument is this?,This is a small conical end-blown wind instrument.,This is a small conical end-blown wind instrument made from bamboo or wood. It is played by blowing air into the blow end and covering finger holes.,0.8242820501327515
170,xutuli,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk music. Its compact size and traditional use make it popular during Bihu celebrations.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk music. Its compact size and traditional use make it popular during Bihu celebrations.",1.0
171,xutuli,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is made from the horn of a male buffalo and is traditionally played by men. It is played by blowing air through the blow hole and covering the finger holes.,0.4867602586746216
172,xutuli,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made from a single piece of hollowed-out bamboo.,0.21528023481369019
173,xutuli,q3,material,What material is this instrument made of?,This instrument is made of clay or bamboo.,This instrument is made of clay or bamboo.,1.0
174,xutuli,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are hollow body, blow end, and finger holes.",During which festival is this instrument played?,0.43027371168136597
175,xutuli,q5,sound,What sound does this instrument produce?,"This instrument produces a high-pitched, sharp whistling sound.","This instrument produces a high-pitched, sharp whistling sound.",1.0
176,xutuli,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0.8624454736709595
177,xutuli,q7,playing_method,How is this instrument played?,This instrument is played by blowing air into the blow end and covering finger holes.,This instrument is played by blowing air into the blow end and covering finger holes.,1.0
178,xutuli,q8,instrument_type,What type of musical instrument is this?,This is a small conical end-blown wind instrument.,This is a small conical end-blown wind instrument made from the horn of a buffalo or deer. It is played by blowing air into one end and covering the other to change the pitch.,0.8332602977752686
179,xutuli,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk music. Its compact size and traditional use make it popular during Bihu celebrations.","The Xutuli is a small conical end-blown wind instrument traditionally made from clay or bamboo in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk music. Its compact size and traditional use make it popular during Bihu celebrations.",1.0
180,bihu_dhol,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This small drum is played by both men and women during Rongali Bihu. It is played by striking the two heads of the drum against each other.,0.6757998466491699
181,bihu_dhol,q2,origin,Where did this instrument originate?,It originated in the Brahmaputra valley of Assam.,This small drum is played by beating both ends simultaneously. It is played during Rongali Bihu and other folk festivals in Assam.,0.36040741205215454
182,bihu_dhol,q3,material,What material is this instrument made of?,This instrument is made of wood and animal skin.,This instrument is made of wood and animal skin.,1.0
183,bihu_dhol,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are wooden barrel body, two leather drum heads, and carrying strap.","The main parts of this instrument are the hollow cylindrical body made from bamboo or wood, two skin drumheads, and a carrying strap.",0.8710724711418152
184,bihu_dhol,q5,sound,What sound does this instrument produce?,"This instrument produces a deep, resonant booming sound.","This instrument produces a deep, resonant booming sound.",1.0
185,bihu_dhol,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men. It is traditionally played by men.,0.8460376858711243
186,bihu_dhol,q7,playing_method,How is this instrument played?,This instrument is played by striking both drumheads with the hands and a stick.,This instrument is played by striking both drumheads with the hands.,0.9557717442512512
187,bihu_dhol,q8,instrument_type,What type of musical instrument is this?,This is a double-headed barrel-shaped percussion instrument.,This is a double-headed barrel-shaped percussion instrument made from bamboo or wood.,0.9012671709060669
188,bihu_dhol,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. It holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings.","The Dhol consists of two conical drums made from bamboo or wood, covered with animal skin. The larger, lower-frequency drum is struck with bare hands while the smaller, higher-frequency drum is struck with drumsticks. Its rhythmic beats provide the foundation for Assamese folk music.",0.8553420305252075
189,bihu_dhol,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam.,0.8784782886505127
190,bihu_dhol,q2,origin,Where did this instrument originate?,It originated in the Brahmaputra valley of Assam.,This instrument originated in the Brahmaputra valley of Assam.,0.7332445383071899
191,bihu_dhol,q3,material,What material is this instrument made of?,This instrument is made of wood and animal skin.,This instrument is made of bamboo and animal skin.,0.9051384329795837
192,bihu_dhol,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are wooden barrel body, two leather drum heads, and carrying strap.","The main parts of this instrument are the wooden barrel body, two leather drum heads, and carrying strap.",0.9950873851776123
193,bihu_dhol,q5,sound,What sound does this instrument produce?,"This instrument produces a deep, resonant booming sound.","This instrument produces a deep, resonant booming sound.",1.0
194,bihu_dhol,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1.0
195,bihu_dhol,q7,playing_method,How is this instrument played?,This instrument is played by striking both drumheads with the hands and a stick.,This instrument is played by striking both drumheads with the hands and a stick.,1.0
196,bihu_dhol,q8,instrument_type,What type of musical instrument is this?,This is a double-headed barrel-shaped percussion instrument.,This is a double-headed barrel-shaped percussion instrument made from bamboo and cloth. It is played by striking both ends simultaneously.,0.8504419922828674
197,bihu_dhol,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. It holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings.","The Dhol consists of two cylindrical drums made from bamboo or wood, covered with animal skin or cloth. The larger, lower pitch drum is struck with bare hands while the smaller, higher pitch drum is struck with drumsticks. Both drums are played simultaneously to create a rich, rhythmic foundation for Assamese folk music.",0.8591936826705933
198,bihu_dhol,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This small drum is played by both men and women during Bihu festivals. It is played by striking the two heads of the drum against each other.,0.6395390033721924
199,bihu_dhol,q2,origin,Where did this instrument originate?,It originated in the Brahmaputra valley of Assam.,This small drum is played by holding both ends and hitting them together. It is played during Rongali Bihu.,0.24628958106040955
200,bihu_dhol,q3,material,What material is this instrument made of?,This instrument is made of wood and animal skin.,This instrument is made of wood and animal skin.,1.0
201,bihu_dhol,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are wooden barrel body, two leather drum heads, and carrying strap.","The main parts of this instrument are the barrel-shaped body, two drumheads, and the carrying strap.",0.9384301900863647
202,bihu_dhol,q5,sound,What sound does this instrument produce?,"This instrument produces a deep, resonant booming sound.","This instrument produces a deep, resonant booming sound.",1.0
203,bihu_dhol,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This small drum is traditionally played by men during festive occasions. It is played by striking the two heads of the drum against each other.,0.6669158935546875
204,bihu_dhol,q7,playing_method,How is this instrument played?,This instrument is played by striking both drumheads with the hands and a stick.,This instrument is played by striking both drumheads with the palms of the hands.,0.9361459016799927
205,bihu_dhol,q8,instrument_type,What type of musical instrument is this?,This is a double-headed barrel-shaped percussion instrument.,"This is a double-headed barrel-shaped percussion instrument. It consists of two drumheads made from animal skin, one larger than the other, and struck rhythmically.",0.8757295608520508
206,bihu_dhol,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. It holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings.","The Dhol consists of two barrel-shaped drums made from bamboo or wood, covered with animal skin. The larger side is struck with bare hands while the smaller side is hit with a mallet. It is played by both men and women and is traditionally played during Bihu festivities.",0.8197852373123169
207,bihu_dhol,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by both men and women. The small end is struck rhythmically while the large end is hit with a stick to produce a sharp crash sound. It is made from a hollowed out tenon root covered with animal skin.,0.7406243681907654
208,bihu_dhol,q2,origin,Where did this instrument originate?,It originated in the Brahmaputra valley of Assam.,This instrument originated in the Brahmaputra valley of Assam. It is made from a single piece of wood and has two vibrating surfaces.,0.5237095355987549
209,bihu_dhol,q3,material,What material is this instrument made of?,This instrument is made of wood and animal skin.,This instrument is made of wood and animal skin.,1.0
210,bihu_dhol,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are wooden barrel body, two leather drum heads, and carrying strap.","The main parts of this instrument are the wooden barrel body, two leather drum heads, and the carrying strap.",0.9912289381027222
211,bihu_dhol,q5,sound,What sound does this instrument produce?,"This instrument produces a deep, resonant booming sound.","This instrument produces a deep, resonant booming sound.",1.0
212,bihu_dhol,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1.0
213,bihu_dhol,q7,playing_method,How is this instrument played?,This instrument is played by striking both drumheads with the hands and a stick.,This instrument is played by striking both drumheads with the hands and a stick.,1.0
214,bihu_dhol,q8,instrument_type,What type of musical instrument is this?,This is a double-headed barrel-shaped percussion instrument.,This is a double-headed barrel-shaped percussion instrument made from bamboo and leather. It is played by striking both ends simultaneously.,0.8565938472747803
215,bihu_dhol,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. It holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings.","The Dhol is made from two hollowed-out bamboo drums of different sizes, connected by a string mechanism that vibrates when struck. It is played by striking both ends simultaneously or hitting one end while holding the other steady. The Dhol's rhythmic beats provide the foundation for Bihu dances and are an essential component of traditional Assamese musical ensembles.",0.875596284866333
216,bihu_dhol,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This small drum is played by both men and women and is traditionally played during Rongali Bihu. It is played by striking the two heads of the drum against each other.,0.6682369112968445
217,bihu_dhol,q2,origin,Where did this instrument originate?,It originated in the Brahmaputra valley of Assam.,This small drum is played by striking both heads together. It is played during Rongali Bihu and other folk festivals.,0.2796812057495117
218,bihu_dhol,q3,material,What material is this instrument made of?,This instrument is made of wood and animal skin.,This instrument is made of wood and animal skin.,1.0
219,bihu_dhol,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are wooden barrel body, two leather drum heads, and carrying strap.",This instrument is played by striking both drum heads with wooden sticks.,0.6773382425308228
220,bihu_dhol,q5,sound,What sound does this instrument produce?,"This instrument produces a deep, resonant booming sound.","This instrument produces a deep, resonant booming sound.",1.0
221,bihu_dhol,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men. It is traditionally played by men.,0.8460376858711243
222,bihu_dhol,q7,playing_method,How is this instrument played?,This instrument is played by striking both drumheads with the hands and a stick.,This instrument is played by striking both drumheads with the hands and a stick.,1.0
223,bihu_dhol,q8,instrument_type,What type of musical instrument is this?,This is a double-headed barrel-shaped percussion instrument.,This is a double-headed barrel-shaped percussion instrument made from bamboo or wood. It is played by striking both ends of the instrument with wooden or metal beaters.,0.8455254435539246
224,bihu_dhol,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. It holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings.","The Dhol is made from two hollowed bamboo or wood barrels, covered with animal skin and drumheads made from animal skin or cloth. The smaller head is struck with a small wooden beater, while the larger head is hit with a larger stick. It is played by striking both heads simultaneously or hitting one head harder than the other to create different tones.",0.780780553817749
225,pepa,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small conical wind instrument is blown to produce a sharp, piercing sound. It is played by both men and women.",0.45966824889183044
226,pepa,q2,origin,Where did this instrument originate?,It originated in the plains of Assam.,This instrument originated in the plains of Assam. It is played by blowing air through the blow hole and plucking the vibrating tongue.,0.5552424192428589
227,pepa,q3,material,What material is this instrument made of?,This instrument is made of buffalo horn and bamboo.,This instrument is made of buffalo horn and bamboo.,1.0
228,pepa,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.","The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.",1.0
229,pepa,q5,sound,What sound does this instrument produce?,"This instrument produces a sharp, nasal, piercing sound.","This instrument produces a sharp, nasal, piercing sound.",1.0
230,pepa,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1.0
231,pepa,q7,playing_method,How is this instrument played?,This instrument is played by blowing air through the mouthpiece.,This instrument is played by blowing air through the blow hole and covering finger holes.,0.8548353910446167
232,pepa,q8,instrument_type,What type of musical instrument is this?,This is a free-reed wind instrument made from buffalo horn and bamboo.,"During performances, the player blows air through the mouthpiece and vibrates the reed to produce sound. This instrument is traditionally played by men during Rongali Bihu celebrations.",0.6469089984893799
233,pepa,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. It is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities.","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. It is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities.",1.0
234,pepa,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by both men and women.,0.8477962017059326
235,pepa,q2,origin,Where did this instrument originate?,It originated in the plains of Assam.,This instrument originated in the plains of Assam.,0.7337294816970825
236,pepa,q3,material,What material is this instrument made of?,This instrument is made of buffalo horn and bamboo.,This instrument is made of buffalo horn and bamboo.,1.0
237,pepa,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.","The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.",1.0
238,pepa,q5,sound,What sound does this instrument produce?,"This instrument produces a sharp, nasal, piercing sound.","This instrument produces a sharp, nasal, piercing sound.",1.0
239,pepa,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1.0
240,pepa,q7,playing_method,How is this instrument played?,This instrument is played by blowing air through the mouthpiece.,This instrument is played by blowing air through the blow hole and covering the finger holes.,0.8535646200180054
241,pepa,q8,instrument_type,What type of musical instrument is this?,This is a free-reed wind instrument made from buffalo horn and bamboo.,"During festivals, this instrument is played by both men and women. It is played by blowing air through the mouthpiece and plucking the reed to produce a sharp, piercing sound.",0.6279862523078918
242,pepa,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. It is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities.","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. It is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities.",1.0
243,pepa,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by both men and women.,0.8477962017059326
244,pepa,q2,origin,Where did this instrument originate?,It originated in the plains of Assam.,This instrument originated in the plains of Assam. It is played by blowing air through the blow hole and covering finger holes.,0.57261723279953
245,pepa,q3,material,What material is this instrument made of?,This instrument is made of buffalo horn and bamboo.,This instrument is made of buffalo horn and bamboo.,1.0
246,pepa,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.","The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.",1.0
247,pepa,q5,sound,What sound does this instrument produce?,"This instrument produces a sharp, nasal, piercing sound.","This instrument produces a sharp, nasal, piercing high-pitched sound.",0.9503473043441772
248,pepa,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1.0
